Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
22158904,182,152,30,0.775,0.111,0.817,0.012,0.525,0.899
BA.3,38,34,4,0.656,0.157,0.635,0.025,0.459,0.898
AY.43,10,9,1,0.81,0.0,0.81,0.0,0.81,0.81
B.1.1.7,7,0,0,,,,,,
BA.4,45,36,9,0.736,0.198,0.81,0.039,0.343,0.899
AY.127,10,9,1,0.81,0.0,0.81,0.0,0.81,0.81
BA.2,49,40,9,0.736,0.198,0.81,0.039,0.343,0.899
BA.5.1,44,37,7,0.69,0.203,0.786,0.041,0.343,0.899
C.39,5,0,0,,,,,,
BA.1,36,34,2,0.765,0.133,0.765,0.018,0.632,0.898
B.1.617.2,8,7,1,0.81,0.0,0.81,0.0,0.81,0.81
AY.124,10,9,1,0.81,0.0,0.81,0.0,0.81,0.81
BA.2.36,49,40,9,0.736,0.198,0.81,0.039,0.343,0.899
BA.1.1.1,37,34,3,0.597,0.261,0.632,0.068,0.262,0.898
B.1.177,2,0,0,,,,,,
BA.1.17,37,35,2,0.765,0.133,0.765,0.018,0.632,0.898
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,37,34,3,0.597,0.261,0.632,0.068,0.262,0.898
AY.122,10,9,1,0.81,0.0,0.81,0.0,0.81,0.81
Non_variant,123,104,19,0.781,0.103,0.826,0.011,0.525,0.894
