Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21341402,33,0.571,0.095,0.532,0.009,0.502,0.875,1.1238960961124439e-07
B.1.617.2,0,nan,nan,,,,,
AY.127,11,0.552,0.147,,,,,
BA.1,,,,,,,,
BA.2.36,,,,,,,,
AY.124,11,0.552,0.147,,,,,
BA.1.1.1,,,,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,,,,,,,,
AY.43,11,0.552,0.147,,,,,
BA.4,,,,,,,,
AY.122,11,0.552,0.147,,,,,
B.1.1.7,0,nan,nan,,,,,
BA.1.1,,,,,,,,
BA.5.1,,,,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,,,,,,,,
BA.1.17,,,,,,,,
No_variant,22,0.563,0.077,,,,,
