Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21056253,82,42,40,0.677,0.1,0.649,0.01,0.504,0.839
BA.3,5,4,1,0.178,0.0,0.178,0.0,0.178,0.178
AY.43,3,2,1,0.337,0.0,0.337,0.0,0.337,0.337
B.1.1.7,2,0,0,,,,,,
BA.4,6,5,1,0.178,0.0,0.178,0.0,0.178,0.178
AY.127,3,2,1,0.337,0.0,0.337,0.0,0.337,0.337
BA.2,6,5,1,0.178,0.0,0.178,0.0,0.178,0.178
BA.5.1,5,4,1,0.178,0.0,0.178,0.0,0.178,0.178
C.39,2,0,0,,,,,,
BA.1,2,0,0,,,,,,
B.1.617.2,3,2,1,0.337,0.0,0.337,0.0,0.337,0.337
AY.124,3,2,1,0.337,0.0,0.337,0.0,0.337,0.337
BA.2.36,6,5,1,0.178,0.0,0.178,0.0,0.178,0.178
BA.1.1.1,2,0,0,,,,,,
B.1.177,4,2,2,0.479,0.15,0.479,0.023,0.328,0.629
BA.1.17,2,0,0,,,,,,
B.1,2,0,0,,,,,,
B.1.1,2,0,0,,,,,,
BA.1.1,2,0,0,,,,,,
AY.122,3,2,1,0.337,0.0,0.337,0.0,0.337,0.337
Non_variant,73,37,36,0.675,0.103,0.639,0.011,0.504,0.839
