Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21007127,255,213,42,0.674,0.105,0.673,0.011,0.509,0.844
BA.3,7,6,1,0.55,0.0,0.55,0.0,0.55,0.55
AY.43,4,3,1,0.55,0.0,0.55,0.0,0.55,0.55
B.1.1.7,19,12,7,0.558,0.15,0.545,0.023,0.316,0.814
BA.4,5,4,1,0.55,0.0,0.55,0.0,0.55,0.55
AY.127,4,3,1,0.55,0.0,0.55,0.0,0.55,0.55
BA.2,7,6,1,0.55,0.0,0.55,0.0,0.55,0.55
BA.5.1,7,6,1,0.55,0.0,0.55,0.0,0.55,0.55
C.39,5,0,0,,,,,,
BA.1,7,6,1,0.55,0.0,0.55,0.0,0.55,0.55
B.1.617.2,2,0,0,,,,,,
AY.124,4,3,1,0.55,0.0,0.55,0.0,0.55,0.55
BA.2.36,7,6,1,0.55,0.0,0.55,0.0,0.55,0.55
BA.1.1.1,7,6,1,0.55,0.0,0.55,0.0,0.55,0.55
B.1.177,3,0,0,,,,,,
BA.1.17,7,6,1,0.55,0.0,0.55,0.0,0.55,0.55
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,7,6,1,0.55,0.0,0.55,0.0,0.55,0.55
AY.122,4,3,1,0.55,0.0,0.55,0.0,0.55,0.55
Non_variant,235,200,35,0.685,0.101,0.689,0.01,0.515,0.844
