Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21348964,338,301,37,0.704,0.092,0.706,0.008,0.505,0.849
BA.3,7,6,1,0.608,0.0,0.608,0.0,0.608,0.608
AY.43,24,12,12,0.467,0.232,0.476,0.054,0.188,0.849
B.1.1.7,6,0,0,,,,,,
BA.4,6,4,2,0.476,0.132,0.476,0.017,0.345,0.608
AY.127,22,12,10,0.459,0.226,0.476,0.051,0.188,0.849
BA.2,8,6,2,0.476,0.132,0.476,0.017,0.345,0.608
BA.5.1,8,6,2,0.476,0.132,0.476,0.017,0.345,0.608
C.39,5,0,0,,,,,,
BA.1,9,7,2,0.514,0.093,0.514,0.009,0.421,0.608
B.1.617.2,2,0,0,,,,,,
AY.124,22,12,10,0.459,0.226,0.476,0.051,0.188,0.849
BA.2.36,8,6,2,0.476,0.132,0.476,0.017,0.345,0.608
BA.1.1.1,9,7,2,0.514,0.093,0.514,0.009,0.421,0.608
B.1.177,2,0,0,,,,,,
BA.1.17,9,7,2,0.514,0.093,0.514,0.009,0.421,0.608
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,9,7,2,0.514,0.093,0.514,0.009,0.421,0.608
AY.122,22,12,10,0.459,0.226,0.476,0.051,0.188,0.849
Non_variant,310,286,24,0.701,0.093,0.712,0.009,0.505,0.843
