Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21356272,38,0.738,0.084,0.748,0.007,0.527,0.886,6.2103996177699205e-37
B.1.617.2,0,nan,nan,,,,,
AY.127,13,0.766,0.06,,,,,
BA.1,4,0.814,0.065,,,,,
BA.2.36,5,0.802,0.062,,,,,
AY.124,13,0.766,0.06,,,,,
BA.1.1.1,4,0.814,0.065,,,,,
B.1,0,nan,nan,,,,,
C.39,,,,,,,,
BA.3,4,0.814,0.065,,,,,
AY.43,15,0.75,0.069,,,,,
BA.4,4,0.821,0.054,,,,,
AY.122,13,0.766,0.06,,,,,
B.1.1.7,2,0.768,0.056,,,,,
BA.1.1,4,0.814,0.065,,,,,
BA.5.1,5,0.802,0.062,,,,,
B.1.1,,,,,,,,
B.1.177,2,0.297,0.073,,,,,
BA.2,5,0.802,0.062,,,,,
BA.1.17,4,0.814,0.065,,,,,
No_variant,21,0.732,0.096,,,,,
