Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21308079,191,136,55,0.709,0.103,0.717,0.011,0.507,0.849
BA.3,9,6,3,0.616,0.329,0.849,0.108,0.151,0.849
AY.43,22,16,6,0.597,0.223,0.614,0.05,0.151,0.823
B.1.1.7,7,4,3,0.616,0.329,0.849,0.108,0.151,0.849
BA.4,9,8,1,0.849,0.0,0.849,0.0,0.849,0.849
AY.127,22,16,6,0.597,0.223,0.614,0.05,0.151,0.823
BA.2,10,7,3,0.616,0.329,0.849,0.108,0.151,0.849
BA.5.1,11,8,3,0.616,0.329,0.849,0.108,0.151,0.849
C.39,5,2,3,0.616,0.329,0.849,0.108,0.151,0.849
BA.1,10,7,3,0.616,0.329,0.849,0.108,0.151,0.849
B.1.617.2,2,0,0,,,,,,
AY.124,25,16,9,0.584,0.193,0.591,0.037,0.151,0.823
BA.2.36,10,7,3,0.616,0.329,0.849,0.108,0.151,0.849
BA.1.1.1,10,7,3,0.616,0.329,0.849,0.108,0.151,0.849
B.1.177,2,0,0,,,,,,
BA.1.17,10,7,3,0.616,0.329,0.849,0.108,0.151,0.849
B.1,2,0,0,,,,,,
B.1.1,5,2,3,0.616,0.329,0.849,0.108,0.151,0.849
BA.1.1,10,7,3,0.616,0.329,0.849,0.108,0.151,0.849
AY.122,22,16,6,0.597,0.223,0.614,0.05,0.151,0.823
Non_variant,161,117,44,0.709,0.099,0.718,0.01,0.507,0.839
