Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21299129,173,171,2,0.74,0.06,0.74,0.004,0.68,0.801
BA.3,8,0,0,,,,,,
AY.43,17,16,1,0.32,0.0,0.32,0.0,0.32,0.32
B.1.1.7,4,0,0,,,,,,
BA.4,9,0,0,,,,,,
AY.127,17,16,1,0.32,0.0,0.32,0.0,0.32,0.32
BA.2,9,0,0,,,,,,
BA.5.1,10,0,0,,,,,,
C.39,3,0,0,,,,,,
BA.1,7,0,0,,,,,,
B.1.617.2,15,14,1,0.32,0.0,0.32,0.0,0.32,0.32
AY.124,18,17,1,0.32,0.0,0.32,0.0,0.32,0.32
BA.2.36,9,0,0,,,,,,
BA.1.1.1,7,0,0,,,,,,
B.1.177,2,0,0,,,,,,
BA.1.17,7,0,0,,,,,,
B.1,2,0,0,,,,,,
B.1.1,3,0,0,,,,,,
BA.1.1,7,0,0,,,,,,
AY.122,17,16,1,0.32,0.0,0.32,0.0,0.32,0.32
Non_variant,152,151,1,0.801,0.0,0.801,0.0,0.801,0.801
