Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21410922,37,0.678,0.088,0.683,0.008,0.512,0.894,3.440268615019719e-27
B.1.617.2,0,nan,nan,,,,,
AY.127,2,0.44,0.293,,,,,
BA.1,,,,,,,,
BA.2.36,0,nan,nan,,,,,
AY.124,2,0.44,0.293,,,,,
BA.1.1.1,,,,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,,,,,,,,
AY.43,,,,,,,,
BA.4,0,nan,nan,,,,,
AY.122,,,,,,,,
B.1.1.7,0,nan,nan,,,,,
BA.1.1,,,,,,,,
BA.5.1,0,nan,nan,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,0,nan,nan,,,,,
BA.1.17,,,,,,,,
No_variant,35,0.676,0.089,,,,,
