Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21042364,37,0.76,0.058,0.772,0.003,0.505,0.833,1.3589935798157199e-49
B.1.617.2,0,nan,nan,,,,,
AY.127,,,,,,,,
BA.1,0,nan,nan,,,,,
BA.2.36,0,nan,nan,,,,,
AY.124,,,,,,,,
BA.1.1.1,0,nan,nan,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,0,nan,nan,,,,,
AY.43,,,,,,,,
BA.4,0,nan,nan,,,,,
AY.122,,,,,,,,
B.1.1.7,0,nan,nan,,,,,
BA.1.1,0,nan,nan,,,,,
BA.5.1,0,nan,nan,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,2,0.748,0.006,,,,,
BA.2,0,nan,nan,,,,,
BA.1.17,0,nan,nan,,,,,
No_variant,34,0.762,0.059,,,,,
