Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21294554,132,102,30,0.712,0.107,0.736,0.011,0.517,0.844
BA.3,6,5,1,0.199,0.0,0.199,0.0,0.199,0.199
AY.43,4,3,1,0.783,0.0,0.783,0.0,0.783,0.783
B.1.1.7,6,5,1,0.231,0.0,0.231,0.0,0.231,0.231
BA.4,3,0,0,,,,,,
AY.127,5,3,2,0.491,0.292,0.491,0.085,0.199,0.783
BA.2,5,0,0,,,,,,
BA.5.1,5,0,0,,,,,,
C.39,5,0,0,,,,,,
BA.1,6,5,1,0.199,0.0,0.199,0.0,0.199,0.199
B.1.617.2,4,3,1,0.783,0.0,0.783,0.0,0.783,0.783
AY.124,6,4,2,0.491,0.292,0.491,0.085,0.199,0.783
BA.2.36,5,0,0,,,,,,
BA.1.1.1,6,5,1,0.199,0.0,0.199,0.0,0.199,0.199
B.1.177,2,0,0,,,,,,
BA.1.17,6,5,1,0.199,0.0,0.199,0.0,0.199,0.199
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,6,5,1,0.199,0.0,0.199,0.0,0.199,0.199
AY.122,4,3,1,0.783,0.0,0.783,0.0,0.783,0.783
Non_variant,123,96,27,0.704,0.109,0.722,0.012,0.517,0.844
