Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21274772,33,0.68,0.063,0.692,0.004,0.506,0.808,1.9178024340629984e-32
B.1.617.2,0,nan,nan,,,,,
AY.127,9,0.314,0.08,,,,,
BA.1,,,,,,,,
BA.2.36,,,,,,,,
AY.124,10,0.354,0.148,,,,,
BA.1.1.1,,,,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,,,,,,,,
AY.43,9,0.314,0.08,,,,,
BA.4,,,,,,,,
AY.122,9,0.314,0.08,,,,,
B.1.1.7,0,nan,nan,,,,,
BA.1.1,,,,,,,,
BA.5.1,,,,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,,,,,,,,
BA.1.17,,,,,,,,
No_variant,23,0.676,0.058,,,,,
