Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
22128289,241,235,6,0.669,0.083,0.663,0.007,0.543,0.826
B.1.617.22,0,0,,,,,,
AY.127,8,7,1,0.347,0.0,0.347,0.0,0.347,0.347
BA.1,33,32,1,0.662,0.0,0.662,0.0,0.662,0.662
BA.2.36,25,24,1,0.662,0.0,0.662,0.0,0.662,0.662
AY.124,8,7,1,0.347,0.0,0.347,0.0,0.347,0.347
BA.1.1.1,34,33,1,0.662,0.0,0.662,0.0,0.662,0.662
B.12,0,0,,,,,,
C.395,0,0,,,,,,
BA.3,27,26,1,0.662,0.0,0.662,0.0,0.662,0.662
AY.43,7,6,1,0.347,0.0,0.347,0.0,0.347,0.347
BA.4,22,21,1,0.662,0.0,0.662,0.0,0.662,0.662
AY.122,7,6,1,0.347,0.0,0.347,0.0,0.347,0.347
B.1.1.77,0,0,,,,,,
BA.1.1,33,32,1,0.662,0.0,0.662,0.0,0.662,0.662
BA.5.1,24,23,1,0.662,0.0,0.662,0.0,0.662,0.662
B.1.15,0,0,,,,,,
B.1.1772,0,0,,,,,,
BA.2,25,24,1,0.662,0.0,0.662,0.0,0.662,0.662
BA.1.17,33,32,1,0.662,0.0,0.662,0.0,0.662,0.662
Non_variant,205,201,4,0.675,0.101,0.666,0.01,0.543,0.826
