Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21288015,379,305,74,0.669,0.122,0.638,0.015,0.5,0.845
BA.3,11,4,7,0.435,0.172,0.512,0.03,0.178,0.602
AY.43,25,5,20,0.491,0.104,0.475,0.011,0.278,0.687
B.1.1.7,10,5,5,0.405,0.188,0.512,0.035,0.178,0.602
BA.4,10,4,6,0.482,0.142,0.508,0.02,0.178,0.602
AY.127,24,3,21,0.488,0.103,0.45,0.011,0.278,0.687
BA.2,11,4,7,0.447,0.173,0.512,0.03,0.178,0.602
BA.5.1,12,4,8,0.453,0.163,0.508,0.027,0.178,0.602
C.39,5,2,3,0.304,0.178,0.178,0.032,0.178,0.556
BA.1,11,4,7,0.435,0.172,0.512,0.03,0.178,0.602
B.1.617.2,2,0,0,,,,,,
AY.124,26,5,21,0.488,0.103,0.45,0.011,0.278,0.687
BA.2.36,11,4,7,0.447,0.173,0.512,0.03,0.178,0.602
BA.1.1.1,12,5,7,0.435,0.172,0.512,0.03,0.178,0.602
B.1.177,2,0,0,,,,,,
BA.1.17,11,4,7,0.435,0.172,0.512,0.03,0.178,0.602
B.1,2,0,0,,,,,,
B.1.1,5,2,3,0.304,0.178,0.178,0.032,0.178,0.556
BA.1.1,12,5,7,0.435,0.172,0.512,0.03,0.178,0.602
AY.122,23,3,20,0.491,0.104,0.475,0.011,0.278,0.687
Non_variant,343,293,50,0.701,0.124,0.765,0.015,0.501,0.845
