Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21312626,264,220,44,0.653,0.103,0.655,0.011,0.509,0.842
BA.3,11,7,4,0.425,0.152,0.491,0.023,0.174,0.547
AY.43,27,14,13,0.271,0.079,0.279,0.006,0.163,0.434
B.1.1.7,15,12,3,0.509,0.053,0.547,0.003,0.434,0.547
BA.4,10,7,3,0.307,0.17,0.201,0.029,0.174,0.547
AY.127,26,13,13,0.271,0.079,0.279,0.006,0.163,0.434
BA.2,11,6,5,0.381,0.163,0.434,0.027,0.174,0.547
BA.5.1,12,7,5,0.381,0.163,0.434,0.027,0.174,0.547
C.39,5,2,3,0.509,0.053,0.547,0.003,0.434,0.547
BA.1,11,7,4,0.425,0.152,0.491,0.023,0.174,0.547
B.1.617.2,2,0,0,,,,,,
AY.124,27,14,13,0.271,0.079,0.279,0.006,0.163,0.434
BA.2.36,11,6,5,0.381,0.163,0.434,0.027,0.174,0.547
BA.1.1.1,12,7,5,0.388,0.155,0.434,0.024,0.174,0.547
B.1.177,2,0,0,,,,,,
BA.1.17,11,7,4,0.425,0.152,0.491,0.023,0.174,0.547
B.1,2,0,0,,,,,,
B.1.1,5,2,3,0.509,0.053,0.547,0.003,0.434,0.547
BA.1.1,12,7,5,0.388,0.155,0.434,0.024,0.174,0.547
AY.122,25,12,13,0.271,0.079,0.279,0.006,0.163,0.434
Non_variant,222,194,28,0.621,0.094,0.571,0.009,0.509,0.842
