Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21308079,58,0.718,0.107,0.72,0.011,0.507,0.892,2.055840015214946e-42
B.1.617.2,0,nan,nan,,,,,
AY.127,8,0.658,0.236,,,,,
BA.1,3,0.616,0.403,,,,,
BA.2.36,3,0.616,0.403,,,,,
AY.124,11,0.631,0.211,,,,,
BA.1.1.1,3,0.616,0.403,,,,,
B.1,0,nan,nan,,,,,
C.39,3,0.616,0.403,,,,,
BA.3,3,0.616,0.403,,,,,
AY.43,8,0.658,0.236,,,,,
BA.4,,,,,,,,
AY.122,8,0.658,0.236,,,,,
B.1.1.7,4,0.683,0.355,,,,,
BA.1.1,3,0.616,0.403,,,,,
BA.5.1,3,0.616,0.403,,,,,
B.1.1,3,0.616,0.403,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,3,0.616,0.403,,,,,
BA.1.17,3,0.616,0.403,,,,,
No_variant,44,0.71,0.101,,,,,
