Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21281572,60,0.604,0.075,0.59,0.006,0.502,0.796,7.10820801250126e-29
B.1.617.2,0,nan,nan,,,,,
AY.127,4,0.476,0.141,,,,,
BA.1,2,0.384,0.018,,,,,
BA.2.36,2,0.384,0.018,,,,,
AY.124,4,0.476,0.141,,,,,
BA.1.1.1,3,0.438,0.095,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,2,0.384,0.018,,,,,
AY.43,4,0.476,0.141,,,,,
BA.4,2,0.384,0.018,,,,,
AY.122,4,0.476,0.141,,,,,
B.1.1.7,2,0.421,0.071,,,,,
BA.1.1,3,0.438,0.095,,,,,
BA.5.1,2,0.384,0.018,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,2,0.384,0.018,,,,,
BA.1.17,2,0.384,0.018,,,,,
No_variant,53,0.605,0.078,,,,,
