Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21322985,97,37,60,0.677,0.086,0.67,0.007,0.503,0.847
BA.3,10,6,4,0.46,0.221,0.5,0.049,0.153,0.688
AY.43,27,6,21,0.67,0.088,0.674,0.008,0.541,0.83
B.1.1.7,19,5,14,0.366,0.127,0.351,0.016,0.156,0.688
BA.4,10,5,5,0.499,0.212,0.65,0.045,0.153,0.688
AY.127,25,6,19,0.675,0.09,0.688,0.008,0.541,0.83
BA.2,11,7,4,0.46,0.221,0.5,0.049,0.153,0.688
BA.5.1,12,7,5,0.499,0.212,0.65,0.045,0.153,0.688
C.39,5,0,0,,,,,,
BA.1,10,6,4,0.46,0.221,0.5,0.049,0.153,0.688
B.1.617.2,2,0,0,,,,,,
AY.124,25,6,19,0.675,0.09,0.688,0.008,0.541,0.83
BA.2.36,11,7,4,0.46,0.221,0.5,0.049,0.153,0.688
BA.1.1.1,10,6,4,0.46,0.221,0.5,0.049,0.153,0.688
B.1.177,2,0,0,,,,,,
BA.1.17,10,6,4,0.46,0.221,0.5,0.049,0.153,0.688
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,10,6,4,0.46,0.221,0.5,0.049,0.153,0.688
AY.122,25,6,19,0.675,0.09,0.688,0.008,0.541,0.83
Non_variant,54,29,25,0.685,0.071,0.678,0.005,0.564,0.839
