Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21409507,197,139,58,0.755,0.082,0.784,0.007,0.503,0.844
BA.3,8,0,0,,,,,,
AY.43,24,0,0,,,,,,
B.1.1.7,4,0,0,,,,,,
BA.4,10,9,1,0.281,0.0,0.281,0.0,0.281,0.281
AY.127,24,0,0,,,,,,
BA.2,10,9,1,0.281,0.0,0.281,0.0,0.281,0.281
BA.5.1,11,10,1,0.281,0.0,0.281,0.0,0.281,0.281
C.39,3,0,0,,,,,,
BA.1,8,0,0,,,,,,
B.1.617.2,14,0,0,,,,,,
AY.124,24,0,0,,,,,,
BA.2.36,10,9,1,0.281,0.0,0.281,0.0,0.281,0.281
BA.1.1.1,8,0,0,,,,,,
B.1.177,2,0,0,,,,,,
BA.1.17,8,0,0,,,,,,
B.1,2,0,0,,,,,,
B.1.1,3,0,0,,,,,,
BA.1.1,8,0,0,,,,,,
AY.122,25,0,0,,,,,,
Non_variant,169,112,57,0.756,0.082,0.785,0.007,0.503,0.844
