Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21517485,154,70,84,0.713,0.07,0.722,0.005,0.526,0.843
BA.3,35,8,27,0.587,0.165,0.659,0.027,0.164,0.752
AY.43,25,5,20,0.32,0.157,0.277,0.025,0.157,0.779
B.1.1.7,7,2,5,0.533,0.098,0.58,0.01,0.416,0.659
BA.4,30,8,22,0.597,0.167,0.667,0.028,0.21,0.752
AY.127,26,6,20,0.32,0.157,0.277,0.025,0.157,0.779
BA.2,32,7,25,0.59,0.161,0.659,0.026,0.21,0.752
BA.5.1,32,8,24,0.589,0.164,0.66,0.027,0.21,0.752
C.39,5,2,3,0.471,0.077,0.418,0.006,0.416,0.58
BA.1,43,8,35,0.607,0.16,0.674,0.026,0.164,0.777
B.1.617.2,2,0,0,,,,,,
AY.124,26,6,20,0.32,0.157,0.277,0.025,0.157,0.779
BA.2.36,32,7,25,0.59,0.161,0.659,0.026,0.21,0.752
BA.1.1.1,43,8,35,0.607,0.16,0.674,0.026,0.164,0.777
B.1.177,2,0,0,,,,,,
BA.1.17,43,8,35,0.607,0.16,0.674,0.026,0.164,0.777
B.1,2,0,0,,,,,,
B.1.1,5,2,3,0.471,0.077,0.418,0.006,0.416,0.58
BA.1.1,43,8,35,0.607,0.16,0.674,0.026,0.164,0.777
AY.122,25,5,20,0.32,0.157,0.277,0.025,0.157,0.779
Non_variant,92,61,31,0.737,0.045,0.731,0.002,0.634,0.825
