Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
22236814,201,67,134,0.783,0.127,0.79,0.016,0.516,0.949
BA.3,38,12,26,0.654,0.189,0.712,0.036,0.22,0.942
AY.43,23,7,16,0.311,0.187,0.252,0.035,0.051,0.709
B.1.1.7,7,2,5,0.5,0.244,0.455,0.06,0.22,0.786
BA.4,47,15,32,0.657,0.219,0.708,0.048,0.055,0.947
AY.127,22,7,15,0.315,0.193,0.259,0.037,0.051,0.709
BA.2,49,15,34,0.659,0.212,0.714,0.045,0.055,0.947
BA.5.1,48,15,33,0.617,0.249,0.704,0.062,0.055,0.947
C.39,5,2,3,0.595,0.265,0.778,0.07,0.22,0.786
BA.1,37,13,24,0.539,0.241,0.571,0.058,0.079,0.942
B.1.617.2,12,5,7,0.401,0.203,0.271,0.041,0.22,0.709
AY.124,22,7,15,0.315,0.193,0.259,0.037,0.051,0.709
BA.2.36,49,15,34,0.659,0.212,0.714,0.045,0.055,0.947
BA.1.1.1,38,13,25,0.544,0.238,0.584,0.057,0.079,0.942
B.1.177,2,0,0,,,,,,
BA.1.17,37,13,24,0.539,0.241,0.571,0.058,0.079,0.942
B.1,2,0,0,,,,,,
B.1.1,5,2,3,0.595,0.265,0.778,0.07,0.22,0.786
BA.1.1,38,13,25,0.544,0.238,0.584,0.057,0.079,0.942
AY.122,22,7,15,0.315,0.193,0.259,0.037,0.051,0.709
Non_variant,126,48,78,0.811,0.122,0.837,0.015,0.523,0.949
