Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21354251,293,259,34,0.654,0.088,0.634,0.008,0.5,0.844
BA.3,8,7,1,0.518,0.0,0.518,0.0,0.518,0.518
AY.43,26,14,12,0.465,0.162,0.509,0.026,0.204,0.686
B.1.1.7,6,0,0,,,,,,
BA.4,8,6,2,0.456,0.062,0.456,0.004,0.393,0.518
AY.127,24,14,10,0.467,0.145,0.509,0.021,0.204,0.62
BA.2,9,7,2,0.456,0.062,0.456,0.004,0.393,0.518
BA.5.1,10,8,2,0.456,0.062,0.456,0.004,0.393,0.518
C.39,5,0,0,,,,,,
BA.1,8,7,1,0.518,0.0,0.518,0.0,0.518,0.518
B.1.617.2,2,0,0,,,,,,
AY.124,24,14,10,0.467,0.145,0.509,0.021,0.204,0.62
BA.2.36,9,7,2,0.456,0.062,0.456,0.004,0.393,0.518
BA.1.1.1,8,7,1,0.518,0.0,0.518,0.0,0.518,0.518
B.1.177,2,0,0,,,,,,
BA.1.17,8,7,1,0.518,0.0,0.518,0.0,0.518,0.518
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,8,7,1,0.518,0.0,0.518,0.0,0.518,0.518
AY.122,24,14,10,0.467,0.145,0.509,0.021,0.204,0.62
Non_variant,265,243,22,0.663,0.086,0.655,0.007,0.533,0.844
