Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
22085556,17,0.89,0.08,0.918,0.006,0.64,0.947,7.289043502953598e-24
B.1.617.2,0,nan,nan,,,,,
AY.127,,,,,,,,
BA.1,6,0.908,0.029,,,,,
BA.2.36,4,0.079,0.035,,,,,
AY.124,,,,,,,,
BA.1.1.1,6,0.908,0.029,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,4,0.696,0.429,,,,,
AY.43,0,nan,nan,,,,,
BA.4,4,0.079,0.035,,,,,
AY.122,0,nan,nan,,,,,
B.1.1.7,,,,,,,,
BA.1.1,6,0.908,0.029,,,,,
BA.5.1,4,0.079,0.035,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,4,0.079,0.035,,,,,
BA.1.17,6,0.908,0.029,,,,,
No_variant,7,0.856,0.111,,,,,
