Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21296678,219,175,44,0.768,0.066,0.786,0.004,0.591,0.843
BA.3,8,4,4,0.491,0.293,0.488,0.086,0.198,0.792
AY.43,24,13,11,0.763,0.076,0.786,0.006,0.628,0.842
B.1.1.7,15,5,10,0.267,0.179,0.2,0.032,0.157,0.792
BA.4,8,6,2,0.488,0.288,0.488,0.083,0.2,0.776
AY.127,24,13,11,0.763,0.076,0.786,0.006,0.628,0.842
BA.2,9,5,4,0.491,0.293,0.488,0.086,0.198,0.792
BA.5.1,10,6,4,0.491,0.293,0.488,0.086,0.198,0.792
C.39,5,2,3,0.397,0.28,0.2,0.078,0.198,0.792
BA.1,8,4,4,0.491,0.293,0.488,0.086,0.198,0.792
B.1.617.2,2,0,0,,,,,,
AY.124,27,15,12,0.767,0.074,0.789,0.006,0.628,0.842
BA.2.36,9,5,4,0.491,0.293,0.488,0.086,0.198,0.792
BA.1.1.1,8,4,4,0.491,0.293,0.488,0.086,0.198,0.792
B.1.177,2,0,0,,,,,,
BA.1.17,8,4,4,0.491,0.293,0.488,0.086,0.198,0.792
B.1,2,0,0,,,,,,
B.1.1,5,2,3,0.397,0.28,0.2,0.078,0.198,0.792
BA.1.1,8,4,4,0.491,0.293,0.488,0.086,0.198,0.792
AY.122,24,13,11,0.763,0.076,0.786,0.006,0.628,0.842
Non_variant,180,157,23,0.758,0.068,0.772,0.005,0.591,0.842
