Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21354251,35,0.661,0.094,0.647,0.009,0.5,0.868,8.197773545655968e-22
B.1.617.2,0,nan,nan,,,,,
AY.127,10,0.467,0.153,,,,,
BA.1,,,,,,,,
BA.2.36,2,0.456,0.088,,,,,
AY.124,10,0.467,0.153,,,,,
BA.1.1.1,,,,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,,,,,,,,
AY.43,12,0.465,0.17,,,,,
BA.4,2,0.456,0.088,,,,,
AY.122,10,0.467,0.153,,,,,
B.1.1.7,0,nan,nan,,,,,
BA.1.1,,,,,,,,
BA.5.1,2,0.456,0.088,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,2,0.456,0.088,,,,,
BA.1.17,,,,,,,,
No_variant,23,0.672,0.094,,,,,
