Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21386692,161,135,26,0.635,0.101,0.607,0.01,0.513,0.841
BA.3,6,0,0,,,,,,
AY.43,4,0,0,,,,,,
B.1.1.7,6,5,1,0.58,0.0,0.58,0.0,0.58,0.58
BA.4,3,0,0,,,,,,
AY.127,5,0,0,,,,,,
BA.2,5,0,0,,,,,,
BA.5.1,5,0,0,,,,,,
C.39,5,0,0,,,,,,
BA.1,6,0,0,,,,,,
B.1.617.2,4,0,0,,,,,,
AY.124,5,0,0,,,,,,
BA.2.36,5,0,0,,,,,,
BA.1.1.1,6,0,0,,,,,,
B.1.177,2,0,0,,,,,,
BA.1.17,6,0,0,,,,,,
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,6,0,0,,,,,,
AY.122,4,0,0,,,,,,
Non_variant,153,128,25,0.637,0.102,0.622,0.01,0.513,0.841
