Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21148570,52,0.74,0.088,0.765,0.008,0.506,0.847,2.754032824204117e-49
B.1.617.2,0,nan,nan,,,,,
AY.127,0,nan,nan,,,,,
BA.1,,,,,,,,
BA.2.36,0,nan,nan,,,,,
AY.124,0,nan,nan,,,,,
BA.1.1.1,,,,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,,,,,,,,
AY.43,0,nan,nan,,,,,
BA.4,0,nan,nan,,,,,
AY.122,0,nan,nan,,,,,
B.1.1.7,0,nan,nan,,,,,
BA.1.1,,,,,,,,
BA.5.1,0,nan,nan,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,0,nan,nan,,,,,
BA.1.17,,,,,,,,
No_variant,51,0.739,0.088,,,,,
