Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21173982,42,0.729,0.101,0.754,0.01,0.505,0.848,3.820646241719787e-34
B.1.617.2,0,nan,nan,,,,,
AY.127,,,,,,,,
BA.1,2,0.57,0.114,,,,,
BA.2.36,2,0.57,0.114,,,,,
AY.124,,,,,,,,
BA.1.1.1,2,0.57,0.114,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,2,0.57,0.114,,,,,
AY.43,,,,,,,,
BA.4,2,0.57,0.114,,,,,
AY.122,,,,,,,,
B.1.1.7,4,0.55,0.176,,,,,
BA.1.1,2,0.57,0.114,,,,,
BA.5.1,2,0.57,0.114,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,2,0.57,0.114,,,,,
BA.1.17,2,0.57,0.114,,,,,
No_variant,38,0.739,0.098,,,,,
