Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21340000,43,0.69,0.1,0.702,0.01,0.508,0.847,1.2304438728791728e-29
B.1.617.2,0,nan,nan,,,,,
AY.127,9,0.54,0.277,,,,,
BA.1,,,,,,,,
BA.2.36,3,0.447,0.288,,,,,
AY.124,9,0.54,0.277,,,,,
BA.1.1.1,2,0.209,0.036,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,,,,,,,,
AY.43,9,0.54,0.277,,,,,
BA.4,3,0.447,0.288,,,,,
AY.122,9,0.54,0.277,,,,,
B.1.1.7,0,nan,nan,,,,,
BA.1.1,2,0.209,0.036,,,,,
BA.5.1,3,0.447,0.288,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,3,0.447,0.288,,,,,
BA.1.17,,,,,,,,
No_variant,32,0.667,0.103,,,,,
