Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21292118,245,192,53,0.682,0.111,0.688,0.012,0.507,0.849
BA.3,8,0,0,,,,,,
AY.43,14,7,7,0.458,0.175,0.536,0.031,0.174,0.682
B.1.1.7,14,13,1,0.263,0.0,0.263,0.0,0.263,0.263
BA.4,7,6,1,0.174,0.0,0.174,0.0,0.174,0.174
AY.127,14,7,7,0.458,0.175,0.536,0.031,0.174,0.682
BA.2,9,8,1,0.174,0.0,0.174,0.0,0.174,0.174
BA.5.1,9,8,1,0.174,0.0,0.174,0.0,0.174,0.174
C.39,5,0,0,,,,,,
BA.1,8,0,0,,,,,,
B.1.617.2,2,0,0,,,,,,
AY.124,14,7,7,0.458,0.175,0.536,0.031,0.174,0.682
BA.2.36,9,8,1,0.174,0.0,0.174,0.0,0.174,0.174
BA.1.1.1,8,0,0,,,,,,
B.1.177,2,0,0,,,,,,
BA.1.17,8,0,0,,,,,,
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,8,0,0,,,,,,
AY.122,14,7,7,0.458,0.175,0.536,0.031,0.174,0.682
Non_variant,220,175,45,0.685,0.114,0.697,0.013,0.507,0.849
