Lineage,Total_HTZ,mean,std,p_value
21517485,85,0.715,0.071,4.760584387807179e-86
BA.3,28,0.597,0.173,
AY.43,20,0.32,0.161,
B.1.1.7,5,0.533,0.11,
BA.4,23,0.609,0.176,
AY.127,20,0.32,0.161,
BA.2,26,0.601,0.17,
BA.5.1,25,0.6,0.173,
C.39,3,0.471,0.094,
BA.1,36,0.614,0.165,
B.1.617.2,0,nan,nan,
AY.124,20,0.32,0.161,
BA.2.36,26,0.601,0.17,
BA.1.1.1,36,0.614,0.165,
B.1.177,0,nan,nan,
BA.1.17,36,0.614,0.165,
B.1,0,nan,nan,
B.1.1,3,0.471,0.094,
BA.1.1,36,0.614,0.165,
AY.122,20,0.32,0.161,
No_variant,31,0.737,0.045,
