Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21334202,148,82,66,0.679,0.099,0.675,0.01,0.507,0.849
BA.3,7,5,2,0.504,0.143,0.504,0.02,0.361,0.646
AY.43,23,14,9,0.485,0.196,0.489,0.039,0.154,0.83
B.1.1.7,4,0,0,,,,,,
BA.4,7,6,1,0.361,0.0,0.361,0.0,0.361,0.361
AY.127,24,14,10,0.501,0.193,0.502,0.037,0.154,0.83
BA.2,7,6,1,0.361,0.0,0.361,0.0,0.361,0.361
BA.5.1,8,7,1,0.361,0.0,0.361,0.0,0.361,0.361
C.39,3,0,0,,,,,,
BA.1,7,5,2,0.504,0.143,0.504,0.02,0.361,0.646
B.1.617.2,2,0,0,,,,,,
AY.124,24,14,10,0.501,0.193,0.502,0.037,0.154,0.83
BA.2.36,7,6,1,0.361,0.0,0.361,0.0,0.361,0.361
BA.1.1.1,7,5,2,0.504,0.143,0.504,0.02,0.361,0.646
B.1.177,2,0,0,,,,,,
BA.1.17,7,5,2,0.504,0.143,0.504,0.02,0.361,0.646
B.1,2,0,0,,,,,,
B.1.1,3,0,0,,,,,,
BA.1.1,7,5,2,0.504,0.143,0.504,0.02,0.361,0.646
AY.122,23,14,9,0.485,0.196,0.489,0.039,0.154,0.83
Non_variant,124,68,56,0.682,0.098,0.678,0.01,0.507,0.849
