Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
22077284,103,58,45,0.541,0.035,0.531,0.001,0.503,0.707
BA.3,40,33,7,0.431,0.063,0.456,0.004,0.293,0.493
AY.43,7,6,1,0.49,0.0,0.49,0.0,0.49,0.49
B.1.1.7,7,0,0,,,,,,
BA.4,44,30,14,0.45,0.058,0.468,0.003,0.293,0.565
AY.127,8,6,2,0.491,0.002,0.492,0.0,0.49,0.493
BA.2,48,33,15,0.451,0.056,0.469,0.003,0.293,0.565
BA.5.1,43,31,12,0.456,0.06,0.469,0.004,0.293,0.565
C.39,5,0,0,,,,,,
BA.1,44,33,11,0.513,0.04,0.526,0.002,0.395,0.548
B.1.617.2,2,0,0,,,,,,
AY.124,8,6,2,0.491,0.002,0.492,0.0,0.49,0.493
BA.2.36,48,33,15,0.451,0.056,0.469,0.003,0.293,0.565
BA.1.1.1,44,33,11,0.513,0.04,0.526,0.002,0.395,0.548
B.1.177,2,0,0,,,,,,
BA.1.17,45,33,12,0.51,0.039,0.526,0.002,0.395,0.548
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,44,33,11,0.513,0.04,0.526,0.002,0.395,0.548
AY.122,7,6,1,0.49,0.0,0.49,0.0,0.49,0.49
Non_variant,41,23,18,0.534,0.022,0.532,0.0,0.503,0.581
