Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
22236814,201,98,103,0.738,0.11,0.768,0.012,0.516,0.899
BA.3,38,15,23,0.619,0.174,0.697,0.03,0.22,0.837
AY.43,23,9,14,0.348,0.171,0.265,0.029,0.195,0.709
B.1.1.7,7,2,5,0.5,0.244,0.455,0.06,0.22,0.786
BA.4,47,21,26,0.627,0.173,0.704,0.03,0.118,0.837
AY.127,22,9,13,0.355,0.176,0.271,0.031,0.195,0.709
BA.2,49,21,28,0.633,0.167,0.706,0.028,0.22,0.837
BA.5.1,48,21,27,0.58,0.211,0.697,0.045,0.118,0.837
C.39,5,2,3,0.595,0.265,0.778,0.07,0.22,0.786
BA.1,37,15,22,0.541,0.215,0.571,0.046,0.168,0.786
B.1.617.2,12,5,7,0.401,0.203,0.271,0.041,0.22,0.709
AY.124,22,9,13,0.355,0.176,0.271,0.031,0.195,0.709
BA.2.36,49,21,28,0.633,0.167,0.706,0.028,0.22,0.837
BA.1.1.1,38,15,23,0.547,0.213,0.584,0.045,0.168,0.786
B.1.177,2,0,0,,,,,,
BA.1.17,37,15,22,0.541,0.215,0.571,0.046,0.168,0.786
B.1,2,0,0,,,,,,
B.1.1,5,2,3,0.595,0.265,0.778,0.07,0.22,0.786
BA.1.1,38,15,23,0.547,0.213,0.584,0.045,0.168,0.786
AY.122,22,9,13,0.355,0.176,0.271,0.031,0.195,0.709
Non_variant,126,70,56,0.764,0.113,0.79,0.013,0.523,0.899
