Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
22246186,318,291,27,0.591,0.071,0.587,0.005,0.506,0.82
BA.3,37,36,1,0.534,0.0,0.534,0.0,0.534,0.534
AY.43,8,7,1,0.607,0.0,0.607,0.0,0.607,0.607
B.1.1.7,7,0,0,,,,,,
BA.4,47,42,5,0.49,0.059,0.467,0.004,0.442,0.607
AY.127,8,7,1,0.607,0.0,0.607,0.0,0.607,0.607
BA.2,49,44,5,0.466,0.043,0.467,0.002,0.397,0.534
BA.5.1,48,44,4,0.413,0.127,0.379,0.016,0.286,0.607
C.39,5,0,0,,,,,,
BA.1,31,30,1,0.534,0.0,0.534,0.0,0.534,0.534
B.1.617.2,2,0,0,,,,,,
AY.124,8,7,1,0.607,0.0,0.607,0.0,0.607,0.607
BA.2.36,49,44,5,0.466,0.043,0.467,0.002,0.397,0.534
BA.1.1.1,31,30,1,0.534,0.0,0.534,0.0,0.534,0.534
B.1.177,2,0,0,,,,,,
BA.1.17,31,30,1,0.534,0.0,0.534,0.0,0.534,0.534
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,31,30,1,0.534,0.0,0.534,0.0,0.534,0.534
AY.122,8,7,1,0.607,0.0,0.607,0.0,0.607,0.607
Non_variant,265,247,18,0.592,0.073,0.588,0.005,0.506,0.82
