Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
22246186,27,0.591,0.071,0.587,0.005,0.506,0.82,1.4122704907772014e-12
B.1.617.2,0,nan,nan,,,,,
AY.127,,,,,,,,
BA.1,,,,,,,,
BA.2.36,5,0.466,0.048,,,,,
AY.124,,,,,,,,
BA.1.1.1,,,,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,,,,,,,,
AY.43,,,,,,,,
BA.4,5,0.49,0.066,,,,,
AY.122,,,,,,,,
B.1.1.7,0,nan,nan,,,,,
BA.1.1,,,,,,,,
BA.5.1,4,0.413,0.146,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,5,0.466,0.048,,,,,
BA.1.17,,,,,,,,
No_variant,18,0.592,0.073,,,,,
