Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21307924,404,333,71,0.697,0.112,0.723,0.013,0.504,0.848
BA.3,13,7,6,0.403,0.223,0.369,0.05,0.169,0.8
AY.43,23,6,17,0.444,0.128,0.476,0.016,0.179,0.652
B.1.1.7,8,6,2,0.664,0.136,0.664,0.018,0.528,0.8
BA.4,12,7,5,0.39,0.242,0.267,0.059,0.169,0.8
AY.127,23,5,18,0.446,0.125,0.474,0.016,0.179,0.652
BA.2,13,8,5,0.39,0.242,0.267,0.059,0.169,0.8
BA.5.1,14,9,5,0.39,0.242,0.267,0.059,0.169,0.8
C.39,5,0,0,,,,,,
BA.1,12,6,6,0.403,0.223,0.369,0.05,0.169,0.8
B.1.617.2,2,0,0,,,,,,
AY.124,24,5,19,0.431,0.137,0.471,0.019,0.158,0.652
BA.2.36,13,8,5,0.39,0.242,0.267,0.059,0.169,0.8
BA.1.1.1,13,7,6,0.403,0.223,0.369,0.05,0.169,0.8
B.1.177,2,0,0,,,,,,
BA.1.17,12,6,6,0.403,0.223,0.369,0.05,0.169,0.8
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,13,7,6,0.403,0.223,0.369,0.05,0.169,0.8
AY.122,22,5,17,0.444,0.128,0.476,0.016,0.179,0.652
Non_variant,371,321,50,0.727,0.092,0.739,0.009,0.52,0.848
