Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21348964,40,0.717,0.099,0.728,0.01,0.505,0.897,2.2586107164563374e-31
B.1.617.2,0,nan,nan,,,,,
AY.127,13,0.556,0.277,,,,,
BA.1,3,0.642,0.24,,,,,
BA.2.36,3,0.617,0.276,,,,,
AY.124,13,0.556,0.277,,,,,
BA.1.1.1,3,0.642,0.24,,,,,
B.1,0,nan,nan,,,,,
C.39,,,,,,,,
BA.3,2,0.752,0.204,,,,,
AY.43,15,0.55,0.275,,,,,
BA.4,2,0.476,0.186,,,,,
AY.122,13,0.556,0.277,,,,,
B.1.1.7,,,,,,,,
BA.1.1,3,0.642,0.24,,,,,
BA.5.1,3,0.617,0.276,,,,,
B.1.1,,,,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,3,0.617,0.276,,,,,
BA.1.17,3,0.642,0.24,,,,,
No_variant,24,0.701,0.093,,,,,
